numero	f_enero	f_febrero	f_marzo	f_abril	f_mayo	f_junio	f_julio	f_agosto	f_septiembre	f_octubre	f_noviembre	f_diciembre	c_tlfn	n_trbs
31	803.3039	958.3089	937.9592	676.976056	844.137014	574.2115455	485.8481165	380.4341375	832.6301575	828.9793965	85.57483249	1422.663432	1	45
32	844.8641	1150.6566	845.5685	963.546655	951.1589638	980.496366	751.929049	625.356823	1314.243053	908.563663	543.0657032	1862.358777	1	81
33	897.9734	1193.5964	668.5443	1160.499549	980.1534123	1049.697662	569.767226	438.471622	967.6222534	864.759981	680.3404675	1999.633541	1	84
34	874.0431	986.4214	1141.7859	659.646537	915.4742343	1067.58764	563.501796	454.995442	975.897785	773.0859265	280.7845207	1600.077595	1	75
35	848.1162	923.71	943.0138	684.308334	849.7870835	526.2821	432.989318	331.381218	736.6047898	783.622228	620.1518341	1988.768502	2	85
36	928.5111	1100.1643	709.7013	1074.145659	953.1305898	921.5157835	607.565079	486.547006	1047.726444	831.6362837	525.7112365	1945.113836	2	108
37	850.8872	1036.8217	989.0708	773.938544	912.679561	643.9798	550.382208	436.331821	946.3542105	813.0335763	913.6901472	2156.372569	2	53
38	947.2602	1025.237	987.5702	859.582186	954.9123965	681.128322	576.9297	464.15363	997.3848944	827.7327474	357.3271571	1600.009579	2	79
39	800.077	1035.3243	1165.0177	621.341211	905.4400528	1010.604691	533.332741	419.447068	914.4461608	837.8785511	285.136975	1477.674011	2	76
40	923.7099	998.3634	908.8547	854.026121	921.2385303	749.8547705	648.2466815	538.4267075	1134.062184	843.8523865	782.6869819	1518.095714	2	110
41	918.9248	932.1274	1236.4626	596.268518	920.9458295	1167.270015	495.18679	392.652776	852.7212329	759.6383203	457.3961927	1192.804925	2	71
42	805.9498	868.0626	1326.8562	367.704366	842.1432415	1035.015377	279.049888	183.563002	452.5853298	751.4318505	678.0196412	1413.428373	2	104
43	858.9179	1029.5998	979.5704	780.162572	912.062668	690.991304	596.510335	483.254357	1033.774169	781.6297794	569.4197036	1764.402504	2	87
44	801.9733	1022.2196	597.4914	933.622802	838.8267755	733.7692315	509.274337	396.830181	870.4848963	759.424379	200.1999366	1395.182737	2	29
45	702.3852	1046.7342	991.5302	633.947186	843.6491965	791.427871	556.684814	441.544052	957.2435798	825.3424787	713.8882063	1926.101738	2	21
46	852.0053	1116.1204	724.8667	1004.951681	924.4860203	1038.55498	631.146117	508.372873	1090.514245	796.4219721	158.3645834	1370.578115	2	41
47	823.3173	895.9986	988.0862	606.106766	828.3772165	579.3802115	488.8153085	390.2554625	844.2401155	764.4009478	622.9665464	1819.428662	2	82
48	783.1193	1022.8456	1046.1304	659.670572	877.941468	899.1705085	573.527449	461.014433	991.22015	650.8382013	424.9746673	1621.436783	2	61
49	810.7114	844.3925	889.2506	598.231058	785.6463895	200.9933995	111.8151455	18.9319705	140.4752795	607.6873317	265.8341761	1381.746776	2	111
50	817.8709	978.9007	923.0573	720.628939	860.1144598	569.027847	479.062048	371.382971	817.8790625	756.6873863	25.45508571	1141.367686	2	80
51	767.953	1131.1446	557.9563	1031.062509	872.0291023	1107.115814	473.48147	349.055564	792.6503663	780.8737624	439.7725778	1555.685178	2	100
52	920.594	960.666	637.1576	968.080168	871.624442	722.560547	535.89226	430.219	926.48498	797.7675147	881.4977964	2155.812996	2	73
53	812.8005	1028.3614	1024.7439	707.057877	893.2409193	724.5155	617.649822	504.530068	1073.636282	789.2938676	615.2206112	1933.041853	2	102
54	835.2326	895.8235	916.0447	658.910621	826.5028553	661.399437	567.035035	468.49445	991.310151	785.8627125	529.3853606	1847.206603	2	84
55	847.574	991.0997	1023.86	705.0735	891.9018	700.8136225	607.5804825	498.5595155	1058.312856	834.5370075	658.9633011	2069.110301	2	59
56	792.6002	1048.6472	822.4231	822.466233	871.5341833	807.0729725	705.414178	590.062986	1236.669606	879.0182386	593.9709106	2166.349311	2	64
57	824.1394	1130.158	817.72	938.197	927.5536	888.375406	727.064666	602.747286	1269.482278	893.6648525	529.062556	1422.527756	2	65
58	934.8383	1014.1068	786.1892	950.817256	921.487889	899.3824415	683.356987	571.805239	1198.545597	786.6776332	361.3023438	1254.767544	2	36
59	959.4409	938.9808	446.7326	1093.784118	859.7346045	759.342782	341.194101	237.906213	562.5515684	713.8140983	623.1802826	1516.645483	2	70
60	946.0054	918.0265	556.7213	996.700759	854.3634898	798.692975	452.660706	351.677791	774.1371621	757.8976195	142.1883535	1255.630954	2	120
61	905.9931	955.2963	831.759	837.18677	882.5587925	646.0266875	546.3674465	441.2848535	946.6981176	886.6399261	418.8813026	1580.146087	2	66
62	911.9916	1184.4267	931.4122	1015.513346	1010.835962	995.817844	811.672524	681.385587	1423.291841	896.8943218	852.0384434	2013.303227	2	110
63	811.9238	1002.7339	1200.0444	580.632392	898.833623	972.622842	491.320774	381.020045	838.6184136	782.4662046	405.5596183	1566.824402	3	22
64	889.8863	873.3389	1039.2159	620.872137	855.8283093	766.926013	522.984644	426.917365	910.6719252	753.2161318	166.1677318	1407.912006	3	70
65	801.9447	961.4951	766.4806	776.545858	826.6165645	624.441238	536.227321	430.46286	927.0346378	714.2395275	257.0341905	1510.36667	3	102
66	851.5318	846.5009	914.678	626.66624	809.844235	549.6581145	455.9896165	362.8745175	787.3191919	719.9169221	851.1542202	1519.716386	3	107
67	805.8844	1127.2591	699.1039	984.654277	904.2254193	573.23433	484.587046	360.588545	813.9049656	694.1910775	205.3737126	873.9358786	3	86
68	855.3125	737.1982	1242.5081	334.281083	792.3249708	988.8619185	240.196708	159.104906	392.2090253	796.2366726	28.30889264	696.8710586	3	59
69	914.2857	1118.4662	1047.0307	885.944401	991.4317503	869.389322	768.817895	645.786613	1349.110114	883.109406	430.6990921	1575.137436	3	28
70	846.4395	1052.3164	809.0842	887.577906	898.8545015	692.2773595	599.1690145	483.4142105	1036.57352	653.3646563	822.8702198	1967.308564	3	116
71	781.041	843.5992	881.4404	572.219172	769.574943	225.980963	140.066453	47.270541	193.6645291	554.8777607	27.89046976	1172.328814	3	93
72	862.5444	928.9069	732.3046	824.037678	836.9483945	388.6132	293.733316	191.553557	474.3004462	687.5825516	674.9092918	2073.140944	3	82
73	872.7523	945.4353	908.93	750.0975	869.303775	625.6211605	529.6184075	425.6205245	916.1644691	708.4162267	492.4802059	1890.711858	3	96
74	744.9682	950.1203	782.4082	699.115826	794.1531315	499.922191	417.975689	313.462456	705.8226503	660.2278982	302.3494629	1581.686463	3	41
75	874.2335	983.3868	874.7585	809.007955	885.3466888	433.177731	337.012046	228.839498	550.3908042	689.9858864	89.20922456	1368.546225	3	37
76	885.2333	938.7595	639.6685	909.381755	843.2607638	571.156076	473.780413	370.516868	811.8352568	771.3905591	907.2341703	1795.194004	3	89
77	792.2357	1031.1106	1096.1116	648.562688	892.005147	1004.348536	561.416761	447.994595	967.6520046	747.1910012	401.9263603	1289.886194	3	49
78	763.2131	867.7657	1117.5419	443.979917	798.1251543	787.925839	360.026476	264.572249	604.8500551	763.1901174	171.6404902	1059.600324	3	21
79	953.4527	1029.7441	929.0656	903.629408	953.972952	731.033126	626.153329	512.881478	1089.48903	754.349553	322.4123101	1815.12731	3	41
80	800.7598	969.53	801.9602	763.172486	833.8556215	452.8391825	364.7556045	258.1073045	603.8900325	821.6015259	464.2701862	1897.74201	3	21
81	899.4941	932.6015	746.3575	856.671825	858.7812313	2314.95005	647.413149	544.826984	1138.860895	1017.331783	243.3495285	1676.821353	3	76
82	931.9787	942.7297	1066.6184	716.735912	914.515678	2599.22615	614.218255	510.517988	1075.474084	1066.79032	241.0596673	1419.696815	3	112
83	835.107	1078.1264	907.8812	845.741116	916.713929	2573.8063	743.24523	624.651326	1304.938397	1037.623251	922.7549842	2101.392132	3	74
84	906.998	880.1095	1136.4718	589.318574	878.2244685	2726.4426	489.548794	392.736749	847.1571331	972.6201993	687.0792352	1865.716383	3	56
85	744.5837	1017.6645	987.3168	649.477624	849.760656	2407.62085	567.573417	455.630322	980.5281004	959.2295275	835.7760832	2057.074625	3	81
86	840.7983	915.1303	1044.3497	610.649271	852.7318928	2509.09855	518.161458	417.497125	897.558928	1086.8437	170.1656062	1391.464148	3	37
87	920.9058	1191.9651	1145.838	909.74324	1042.113035	2844.3831	808.443602	677.327441	1416.49175	1168.999046	379.386164	1983.491276	3	115
88	891.5438	1085.2332	1032.7141	838.129963	961.9052658	2616.2383	740.060145	620.684493	1298.262499	1095.750046	774.5521682	2212.07113	3	73
89	840.07	1054.8501	952.3992	802.052556	912.342964	2529.7352	709.644856	593.611345	1244.02284	1056.445776	263.1181107	1700.637073	3	122
90	827.156	1052.8582	1072.3767	718.759481	917.7875953	2558.3314	627.772321	511.957919	1090.29529	1073.632055	628.7584559	2066.277418	3	86
91	914.3394	1053.0963	1092.9518	794.453174	963.7101685	2643.0733	693.87584	578.035247	1214.546857	1121.7617	727.8041529	2077.819111	3	41
92	904.6003	1077.9702	897.22	921.1551	950.2364	2608.24055	797.713967	679.137245	1407.354743	1058.679906	100.7582885	1274.075924	3	106
93	725.4797	1045.2887	957.4753	675.007479	850.8127948	2453.31725	595.204712	480.222955	1029.800912	983.7216381	210.1903418	1383.507978	3	119
94	802.253	996.0006	1160.6926	586.658818	886.4012545	2722.5117	498.410988	388.850922	852.5997994	1053.548588	662.5581767	1835.875813	3	52
95	884.4086	1096.8053	1230.2266	729.984738	985.3563095	2902.6575	632.699792	512.051209	1095.304856	1059.689957	800.1015611	2156.669619	3	106
96	929.8348	892.2375	939.1036	736.783248	874.489787	2343.1246	634.50142	536.355295	1118.49408	955.5641493	211.3713334	1567.939391	3	67
97	850.9753	835.2754	803.4503	678.284029	791.9962573	2127.43825	584.676746	492.796452	1030.337624	1004.262858	443.7176418	1800.2857	3	62
98	879.7045	1036.6885	871.4954	869.640622	914.3822555	2513.22925	772.873127	658.837392	1364.650032	1058.89663	496.8780032	1751.467003	3	30
99	804.9899	1043.5949	1077.1936	684.584448	902.590712	2556.88215	596.035559	481.24012	1031.526865	1023.958633	160.2265391	1414.815539	3	26
100	967.8281	1058.9043	627.2945	1119.174535	943.3003588	2722.26312	520.833409	404.353936	888.6648727	1028.06857	466.8787988	1721.467799	3	53
